"site_id","mean_surf_jas_slope","distance","nearest_lake","distance_km"
"nhd_1102058",0.163121828648385,207261.945730347,"Lake Superior",207.261945730347
"nhd_1102080",0.185314966420156,208764.020728449,"Lake Superior",208.764020728449
"nhd_1102086",0.149252517146693,227200.265265081,"Lake Superior",227.200265265081
"nhd_1102088",0.15915284235873,225971.725025097,"Lake Superior",225.971725025097
"nhd_1102094",0.174149057752684,226949.028121056,"Lake Superior",226.949028121056
"nhd_1102194",0.150143353017884,227335.642419713,"Lake Superior",227.335642419713
"nhd_1102202",0.158831968189239,227616.090015688,"Lake Superior",227.616090015688
"nhd_1102228",0.17160607660191,228588.365655495,"Lake Superior",228.588365655495
"nhd_1102236",0.201284799361031,209781.418440222,"Lake Superior",209.781418440222
"nhd_1102244",0.162663937830923,229850.308834299,"Lake Superior",229.850308834299
"nhd_1102284",0.170801548137698,229033.563541583,"Lake Superior",229.033563541583
"nhd_1102358",0.164646539475567,211868.165725161,"Lake Superior",211.868165725161
"nhd_1102366",0.145287827750644,230783.31986117,"Lake Superior",230.78331986117
"nhd_1102410",0.179594992652706,230447.005528744,"Lake Superior",230.447005528744
"nhd_1102576",0.161260165040516,212801.727478682,"Lake Superior",212.801727478682
"nhd_1103970",0.172810379156707,227266.429560642,"Lake Superior",227.266429560642
"nhd_11928930",0.337022288612014,14565.5134457434,"Lake Superior",14.5655134457434
"nhd_11928976",0.336527688629569,8081.55836443628,"Lake Superior",8.08155836443628
"nhd_11929034",0.271648075555845,18323.3479060091,"Lake Superior",18.3233479060091
"nhd_11929040",0.304316821281548,18588.1759765504,"Lake Superior",18.5881759765504
"nhd_11929068",0.277870287678294,19980.6250769731,"Lake Superior",19.9806250769731
"nhd_11929070",0.281813177402824,21135.0401387725,"Lake Superior",21.1350401387725
"nhd_11929176",0.210668985115573,15720.2828148649,"Lake Superior",15.7202828148649
"nhd_11929360",0.222415196736588,17155.2046091628,"Lake Superior",17.1552046091628
"nhd_11929452",0.214969579264287,29393.3542810367,"Lake Superior",29.3933542810367
"nhd_11929458",0.248142803651816,20175.004294067,"Lake Superior",20.175004294067
"nhd_11929476",0.212116804014872,29570.2211712747,"Lake Superior",29.5702211712747
"nhd_11929488",0.211969647793866,29897.5682773845,"Lake Superior",29.8975682773845
"nhd_11929564",0.214472790301299,29386.6429069515,"Lake Superior",29.3866429069515
"nhd_11929570",0.242618159368818,26436.9184310711,"Lake Superior",26.4369184310711
"nhd_11929604",0.226978948296277,32935.4353514574,"Lake Superior",32.9354353514574
"nhd_11931386",0.230946899280045,40826.8502829429,"Lake Superior",40.8268502829429
"nhd_11931388",0.23213253157884,40809.9710262962,"Lake Superior",40.8099710262962
"nhd_11931444",0.247717158602842,43240.0282810396,"Lake Superior",43.2400282810396
"nhd_11931532",0.230092674184308,45676.5261730821,"Lake Superior",45.6765261730821
"nhd_11936879",0.392273416873283,12886.8255825279,"Lake Superior",12.8868255825279
"nhd_11938451",0.358081276845333,13603.6940938792,"Lake Superior",13.6036940938792
"nhd_11938465",0.354352061284042,11234.2953949874,"Lake Superior",11.2342953949874
"nhd_11938479",0.363138227302123,13482.1917208273,"Lake Superior",13.4821917208273
"nhd_11938505",0.341038528317696,15782.015668959,"Lake Superior",15.782015668959
"nhd_11938507",0.343995162761439,15699.794413223,"Lake Superior",15.699794413223
"nhd_11938579",0.310084001911067,26480.8334899982,"Lake Superior",26.4808334899982
"nhd_11938597",0.296547868452503,27442.9154837545,"Lake Superior",27.4429154837545
"nhd_11938607",0.252765116544752,29207.4087336232,"Lake Superior",29.2074087336232
"nhd_11945471",0.262691699262451,33338.4470237124,"Lake Superior",33.3384470237124
"nhd_11945533",0.201261072877618,31639.934512803,"Lake Superior",31.639934512803
"nhd_11945561",0.199916684762633,30231.2637034771,"Lake Superior",30.2312637034771
"nhd_11945669",0.224787877233766,35084.0576820817,"Lake Superior",35.0840576820817
"nhd_11947355",0.22890940345667,37877.6972742971,"Lake Superior",37.8776972742971
